epoch,step,total_train_loss,real_train_loss,random_train_loss,real_train_acc,random_train_acc,total_val_loss,real_val_loss,random_val_loss,real_val_acc,random_val_acc,sav_version
0,86,7.752285558123921,0.35040676697742107,7.4018788060476615,0.8974109738372094,0.5681231831395348,11.702860450744629,2.8469027042388917,8.855957794189454,0.6310590277777778,0.4266840277777778,1
1,172,6.4889722535776535,0.719489452797313,5.769482795582261,0.8071130087209302,0.5202761627906975,10.08759069442749,2.6063862562179567,7.481204319000244,0.65234375,0.47072916666666664,2
2,258,6.058814739072045,0.6710728112348291,5.38774192194606,0.8174600290697677,0.5110919331395347,9.571079349517822,2.5767507195472716,6.994328594207763,0.6538020833333333,0.46090277777777783,3
3,344,5.935170678205268,0.622159150623998,5.313011521516844,0.831140988372093,0.49562136627906994,9.15460958480835,2.4685498237609864,6.686059761047363,0.6644097222222223,0.4567534722222223,4
4,430,5.866544984107794,0.5994367623745009,5.2671082158421365,0.8380268895348842,0.4772529069767444,8.67406177520752,2.3182105660438537,6.355851078033448,0.6952777777777778,0.4883333333333334,5
5,516,5.606047430703806,0.5474497811045758,5.058597631232683,0.849682049418605,0.48401162790697666,8.428581809997558,2.2446931123733522,6.183888721466064,0.6895138888888889,0.4897048611111111,6
6,602,5.380713762238968,0.5044195977754371,4.876294152681218,0.8601108284883725,0.48720021802325575,7.8219685554504395,2.2259980201721192,5.595970630645752,0.6915451388888889,0.49868055555555557,7
7,688,5.270234981248545,0.4986774326453722,4.771557516829912,0.8609284156976741,0.4949763808139534,8.376155567169189,2.2733290791511536,6.102826499938965,0.6891319444444445,0.49454861111111115,7
8,774,5.198646190554597,0.49803728281065474,4.700608904971633,0.8616733284883717,0.4915970203488373,7.682117176055908,2.1221276044845583,5.5599894523620605,0.7046875,0.4963541666666667,8
9,860,5.021610900413158,0.4676021550630414,4.554008752800698,0.8661518895348838,0.5040879360465116,6.996542835235596,2.0667290091514587,4.9298137664794925,0.7059027777777778,0.5365972222222222,9
10,946,4.892066683880119,0.44197482702343965,4.450091863787452,0.8733920784883721,0.5043422965116277,7.629275321960449,2.1389620304107666,5.490313243865967,0.7057291666666667,0.4953125,9
11,1032,4.992841415627058,0.43912004818056904,4.55372136969899,0.874327761627907,0.49441315406976744,7.845348644256592,2.191857409477234,5.653491115570068,0.6931423611111112,0.48699652777777774,9
12,1118,4.8577459440674895,0.4395952650973963,4.418150680009709,0.87265625,0.5029433139534885,7.596791934967041,2.1896123051643372,5.407179450988769,0.6999826388888889,0.503125,9
13,1204,4.7233534746391825,0.4202256559632545,4.303127826646317,0.8782885174418605,0.5121820494186047,7.75265588760376,2.2324711561203,5.520184803009033,0.6996180555555555,0.5111805555555555,9
14,1290,4.7903644373250565,0.4305392148536305,4.359825220218925,0.8757721656976742,0.5008902616279072,7.448657512664795,2.2032284259796144,5.245429039001465,0.70421875,0.5251215277777778,9
15,1376,4.685853284458782,0.4041076243616814,4.28174564727517,0.8814589389534883,0.5052598110465115,6.940185070037842,2.15956711769104,4.780617809295654,0.7044270833333333,0.5427430555555557,10
16,1462,4.60958150652952,0.4155782138885454,4.194003307542135,0.8784156976744185,0.514562136627907,6.993583106994629,2.0622174978256225,4.9313653945922855,0.708125,0.5322048611111111,10
17,1548,4.512383674466332,0.3976734015484189,4.114710278289262,0.8801871366279074,0.5185319767441863,6.866596317291259,2.1756100058555603,4.6909863471984865,0.7081770833333334,0.5439409722222222,11
18,1634,4.497168224911357,0.3974813737495001,4.099686841632044,0.8833212209302326,0.5172692587209302,6.9831421852111815,2.1172412753105165,4.865901088714599,0.7061631944444444,0.5214583333333332,11
19,1720,4.4795189569162766,0.4094222408047942,4.0700967228689855,0.8810410610465121,0.5193859011627907,6.768085193634033,2.0599052786827086,4.708179998397827,0.7220659722222222,0.5425694444444444,12
20,1806,4.416477810504825,0.4071253836154938,4.009352415107017,0.8810319767441862,0.5240098110465116,6.9165314674377445,2.123167669773102,4.793363857269287,0.7097048611111111,0.5419791666666666,12
21,1892,4.316115179727244,0.3979604620226594,3.9181547331255535,0.8824491279069766,0.532921511627907,6.419697666168213,2.062254512310028,4.357443046569824,0.7122048611111111,0.5346527777777779,13
22,1978,4.306928834249807,0.39662092958771905,3.9103078869886176,0.8826944040697675,0.530114462209302,6.288001251220703,2.012808120250702,4.275193214416504,0.7205902777777778,0.5811979166666666,14
23,2064,4.355464746785718,0.40709728877558266,3.948367476463318,0.8803960755813957,0.5232648982558139,6.172086143493653,2.0721404552459717,4.099945449829102,0.7184895833333333,0.5766840277777778,15
24,2150,4.369155806164409,0.4020239126890205,3.9671318946882734,0.8823037790697671,0.5186954941860467,6.6996723175048825,2.1658645272254944,4.533807706832886,0.7041840277777778,0.5466666666666666,15
25,2236,4.2428483963012695,0.39770537372245346,3.8451430298561275,0.8828670058139537,0.5330396075581394,6.228341579437256,2.1191629648208616,4.109178590774536,0.709392361111111,0.5484895833333334,15
26,2322,4.267110863397288,0.3981309304403704,3.8689799336499946,0.8827398255813956,0.5284702034883721,6.195557498931885,2.1975244283676147,3.9980331897735595,0.6889930555555555,0.5455555555555556,15
27,2408,4.2004402487777,0.4048462066539498,3.7955940629160683,0.8815770348837205,0.5328851744186046,6.585543155670166,2.207840311527252,4.377702856063843,0.69984375,0.5467881944444445,15
28,2494,4.17132830897043,0.3842748935485995,3.787053432575492,0.8861646075581393,0.5310410610465115,6.279562902450562,2.1674466371536254,4.112116432189941,0.6980902777777778,0.5433854166666666,15
29,2580,4.130412897398306,0.3837815922533357,3.746631284092748,0.8870457848837213,0.5376726017441861,5.837266826629639,2.098374581336975,3.73889217376709,0.7077256944444444,0.5851909722222223,16
30,2666,4.1651159330855965,0.37524870843734853,3.7898672375568125,0.8890988372093026,0.5288789970930232,6.038935947418213,2.0545388579368593,3.984397125244141,0.7092534722222222,0.5507986111111112,16
31,2752,4.176326535468878,0.3862525857118673,3.790073963098748,0.8865643168604653,0.5257267441860464,6.074955844879151,2.0956932425498964,3.979262638092041,0.711076388888889,0.5568576388888888,16
32,2838,3.9541203227154043,0.37815988670254863,3.5759604337603546,0.8898346656976746,0.5524255087209301,5.7855309009552,2.0142245531082152,3.7713064193725585,0.7242881944444444,0.5672916666666666,17
33,2924,4.015188286470813,0.37398647170427235,3.6412018121675005,0.8894803779069765,0.5436319040697674,5.753259372711182,2.032714807987213,3.720544672012329,0.7135069444444444,0.5918749999999999,18
34,3010,4.038654574128085,0.3708073168473188,3.6678472618724025,0.8902797965116279,0.540361555232558,5.531952619552612,2.082077670097351,3.449875068664551,0.7128298611111111,0.5822569444444444,19
35,3096,3.992617360381193,0.3735156180553658,3.619101743365443,0.8888626453488372,0.5441678779069768,5.435775375366211,2.0330120086669923,3.402763271331787,0.7176736111111112,0.5842013888888888,20
36,3182,3.9131220468254977,0.3725955266245576,3.5405265286911365,0.890734011627907,0.5515534156976745,5.991351699829101,2.119599997997284,3.8717517375946047,0.7084027777777778,0.5612673611111112,20
37,3268,3.964220182840214,0.3759419559392818,3.588278240935747,0.8890261627906978,0.5462754360465117,6.175553703308106,2.1403611660003663,4.035192394256592,0.7046875,0.5472048611111111,20
38,3354,3.9632608308348547,0.36033999088198637,3.6029208482697954,0.8928324854651161,0.5428506540697674,5.517863798141479,2.0307237267494203,3.4871401309967043,0.7205208333333333,0.5833333333333334,20
39,3440,3.89148802396863,0.36660962863716967,3.5248783799104912,0.8908339389534882,0.5528070494186046,5.73188533782959,2.000986647605896,3.730898714065552,0.7185069444444444,0.5828298611111111,20
40,3526,3.913944211117057,0.3648144750054492,3.5491297272748725,0.8927234738372095,0.5465843023255814,6.106552696228027,2.203895962238312,3.902656650543213,0.6914583333333333,0.5368229166666667,20
41,3612,3.860505702883698,0.35753811843866523,3.502967590509459,0.8935592296511627,0.552316497093023,5.4163774967193605,1.9464635252952576,3.469913911819458,0.7136979166666666,0.5539930555555556,21
42,3698,3.873736098755238,0.3712755443398343,3.502460537954818,0.8913699127906978,0.5521075581395345,5.449478244781494,1.995352840423584,3.454125452041626,0.7211805555555555,0.5807986111111111,21
43,3784,3.851979003396145,0.37239693538394086,3.479582099027412,0.8898528343023254,0.552625363372093,5.910977554321289,2.0991488695144653,3.81182861328125,0.7243229166666667,0.5830902777777778,21
44,3870,3.7809961507486745,0.3468665319473244,3.4341296234796213,0.8964752906976742,0.558693677325581,5.682592487335205,2.1573072910308837,3.525285339355469,0.7110069444444445,0.5884201388888888,21
45,3956,3.84042480657267,0.34875609153924986,3.4916687150334202,0.8965207122093021,0.5530704941860467,5.569794416427612,1.9526066064834595,3.617187833786011,0.7182291666666667,0.5424479166666668,21
46,4042,3.916341238243635,0.3557590169962062,3.560582219168197,0.892896075581395,0.5389171511627906,5.896813201904297,2.1600348949432373,3.736778163909912,0.7102777777777778,0.5771006944444445,21
47,4128,3.9445974771366563,0.35257846420240957,3.5920190228972326,0.895139898255814,0.5357467296511628,5.184653234481812,2.0021088302135466,3.1825444221496584,0.7298611111111111,0.6170138888888889,22
48,4214,3.7405409729757975,0.3461779945118483,3.394362988860108,0.8973019622093024,0.5580396075581396,5.31668610572815,2.047054386138916,3.269631767272949,0.7199131944444443,0.5998958333333333,22
49,4300,3.7593765813250872,0.3449647622399552,3.4144118192584014,0.8974654796511627,0.5555959302325583,5.3489031314849855,2.087858784198761,3.2610443830490112,0.7223263888888888,0.6126041666666666,22
50,4386,3.789287569910981,0.3495218632526176,3.4397657000741293,0.8956122819767444,0.5515897529069768,5.810328197479248,2.1091530561447143,3.701175260543823,0.7106076388888889,0.5675694444444443,22
51,4472,3.6895046095515407,0.34129416648038596,3.34821042903634,0.8976562499999999,0.5637082122093023,5.1920514583587645,1.940440332889557,3.2516112327575684,0.7338541666666666,0.5959722222222222,22
52,4558,3.7651580488959024,0.35048090579897856,3.4146771264630695,0.8949945494186049,0.5550327034883722,6.0160243034362795,2.13893723487854,3.8770872592926025,0.7096354166666667,0.5375694444444445,22
53,4644,3.70867766613184,0.3356607554610385,3.373016909111378,0.8996002906976749,0.5587027616279071,5.344733190536499,1.9490436673164369,3.395689582824707,0.7225173611111112,0.5777604166666667,22
54,4730,3.697126161220462,0.33698413191839705,3.3601420341536055,0.8994731104651159,0.5570857558139533,5.616421127319336,2.0655465602874754,3.5508747577667235,0.7093229166666667,0.5663715277777779,22
