epoch,step,total_train_loss,real_train_loss,recomposed_train_loss,contra_train_loss,real_train_acc,recomposed_train_acc,total_val_loss,real_val_loss,recomposed_val_loss,contra_val_loss,real_val_acc,recomposed_val_acc,sav_version
0,348,1.0770280012625388,0.38374272243644314,0.6324200509865393,0.6086522939818344,0.989398770489395,0.777470142053099,2.0514637200455916,0.9530244657867833,1.0187705112131018,0.7966876406418649,0.7223530400871471,0.6805533615800922,1
1,696,0.5132551071630127,0.10076390431615813,0.33281330447429897,0.7967789722927685,0.9812798698073262,0.7536627048494342,1.5431875539453406,0.7317525120942217,0.7322874304495359,0.791475888929869,0.7049468333265378,0.6516142477349126,2
2,1044,0.45757456804657803,0.0834395581556634,0.30474611110557087,0.6938889535336659,0.9818475129691321,0.7444251392801163,1.393997068467893,0.681476361265308,0.6699946177633185,0.4252608081227855,0.6830374419762572,0.6173787740320434,3
3,1392,0.4013768996315441,0.07486194876375897,0.2794543983650276,0.47060552950220547,0.9837040989558469,0.7532748175524927,1.310066775271767,0.673712186907467,0.5975202408276106,0.38834332321819504,0.6871302341907782,0.6849536751455804,4
4,1740,0.3821406655613033,0.06956730045421028,0.2665182504075012,0.4605511373829568,0.9854330307597599,0.7603726513131168,1.2060824632644653,0.6029543225702486,0.5668919941312388,0.36236152680296646,0.7263597955549813,0.662839354581279,5
5,2088,0.37308519303627397,0.06453390821450572,0.2643017514940651,0.442495330397425,0.9857599429644605,0.7520943708961084,1.1863150439764325,0.600655055947994,0.5526343607588818,0.3302562632843068,0.7189427616843769,0.6610583897422461,6
6,2436,0.36555732409844455,0.062306841487471745,0.2601099047895478,0.4314057885658467,0.9865071709912606,0.7526937183298222,1.0825736546202709,0.5587326380375185,0.49022974309168366,0.3361126639341053,0.7299991587727696,0.6549383625985512,7
7,2784,0.3531201732741005,0.06068195495219238,0.25102799278737487,0.41410225068872003,0.9866529169066266,0.7551443015019644,1.1383727537958246,0.5818686657830289,0.5290150124775735,0.2748906251631285,0.7130829313083739,0.6396977087165441,7
8,3132,0.33984960585661317,0.058397328390086864,0.2427948377384194,0.3865743997967106,0.9877836327128497,0.7640184596508424,1.1548524498939514,0.5831368369491476,0.544861835868735,0.26853769939196737,0.74207935727264,0.6889618044676554,7
9,3480,0.33559179845555076,0.05537716868793827,0.24423130126348858,0.3598332789394705,0.9893312340728757,0.7565602994397648,1.0688120879625018,0.5495548797281165,0.4967808048976095,0.2247637235804608,0.7299548233705179,0.6629605197428097,8
10,3828,0.3294678707232421,0.053705417588567256,0.24052273469238444,0.3523971887369608,0.9890477788120843,0.7594960724546326,1.060265773221066,0.5278635985757175,0.508099490874692,0.2430267051646584,0.7569291405634356,0.6618576444288525,9
11,4176,0.3280658397352558,0.05280878023918847,0.24070560292008963,0.34551456317990675,0.9892740470058786,0.7571166303923597,1.0250677717359442,0.506912569662458,0.49456406188638585,0.23591126187851555,0.7611815109342134,0.6639702206849778,10
12,4524,0.3202918344016733,0.0509566572633968,0.2353507908938945,0.3398438476711169,0.9888567767106018,0.7587348308470371,0.9896458183464251,0.504603214954075,0.4616512397402211,0.23391362162012802,0.7783384771956487,0.6839239346197241,11
13,4872,0.31548125125553417,0.049243359607055615,0.2329801151250628,0.33257776725737526,0.99066764683918,0.761132209482642,0.9762518609824934,0.5011769518452255,0.45248714403102275,0.2258775853797009,0.7543173559126899,0.6559475307096,12
14,5220,0.31047189591088514,0.04803671023605027,0.22904472504795967,0.33390459683777274,0.989878930319394,0.7630938013779165,0.9422121110715365,0.4609072326045287,0.45906442560647664,0.22240470585070157,0.7710959892432699,0.6531790092662998,13
15,5568,0.30793238949330376,0.04778213137974856,0.22678898341268644,0.3336127419666997,0.990798992310397,0.7668621058369788,0.9367582437239195,0.4787109219714215,0.43599354554163783,0.2205377597557871,0.7810060438857588,0.7022626592419243,14
16,5916,0.30650917038150216,0.0467592371659803,0.2269660280696277,0.3278390496712306,0.9907352328676089,0.76497676075385,0.9186966623130598,0.4624477013161308,0.4349663500723086,0.21282610297203064,0.7701767148324828,0.6703518331938062,15
17,6264,0.30131851346499616,0.045635777766463055,0.2219859316045868,0.3369680468164299,0.9907128300442005,0.7638808326571881,0.9013121504532663,0.4445771755356538,0.4353855809098796,0.21349389576598218,0.785146539252405,0.6782364232635864,16
18,6612,0.30073537056644756,0.045028188129373155,0.22288919276632796,0.328179887720737,0.9915528584794026,0.7650645406178367,0.9265917280786916,0.45605555804152237,0.4474414328211232,0.23094744274490758,0.780312160174653,0.6585289443221759,16
19,6960,0.2990537101253011,0.044630775886491454,0.2210505348683774,0.33372399146700726,0.9903337882618213,0.7658703532458528,0.9050676273672205,0.4627420198368399,0.4218396654254512,0.20485947790898776,0.7956216343350424,0.6924559778953197,16
20,7308,0.2937822729006581,0.044095897019423284,0.21724346290802818,0.3244291391737502,0.990818090108836,0.7676053443289638,0.8544853188489613,0.4295496113206211,0.40284830645511027,0.22087400445812627,0.7830422094903916,0.6686606888111113,17
