epoch,step,total_train_loss,real_train_loss,recomposed_train_loss,contra_train_loss,real_train_acc,recomposed_train_acc,total_val_loss,real_val_loss,recomposed_val_loss,contra_val_loss,real_val_acc,recomposed_val_acc,sav_version
0,348,1.3623342633932487,0.579311438632765,0.7722083793460638,0.10814448389567263,0.9930856981754987,0.7793482717828004,3.308554297999332,1.4945033325960762,1.7342028147295903,0.7984810879355982,0.7425954476593898,0.6797653136864945,1
1,696,0.5931894356149366,0.14747369777539682,0.4309755440844201,0.14740193024780815,0.9837475569710981,0.7689508812136331,1.8138017089743363,0.8235149265904176,0.9106299767368718,0.7965682337158605,0.7285110116324165,0.6686942805763388,2
2,1044,0.4319505912904767,0.09759430655802803,0.3302456571709836,0.04110628031675929,0.9802103532065177,0.7592489958486265,1.5589139194864976,0.7183148284491739,0.762747386568471,0.7785170360615379,0.6763018663399084,0.6456230572147335,3
3,1392,0.3953339298651821,0.08627032530333462,0.30569998055011377,0.033636233020017205,0.9833811130629584,0.7488237672562219,1.3861681567995172,0.654759420180007,0.6613262295722961,0.70082510145087,0.702179077197191,0.6885542029434017,4
4,1740,0.36845710805092735,0.07908624100188415,0.28601835740880033,0.03352510503589593,0.9850790618279966,0.7564433881655875,1.3195667047249644,0.6262579640667689,0.6304348942480589,0.6287382746997633,0.7187741541918865,0.6684059984595763,5
5,2088,0.35035227534585983,0.07310081296868023,0.27399958194843654,0.03251879643541814,0.9849337910083449,0.7566166578167882,1.3245015975676084,0.6410087990133386,0.6267049759626389,0.5678781804285551,0.7097852495585056,0.659665472358477,5
6,2436,0.3406469450685485,0.07009912741466842,0.26776875369250774,0.027790629749197042,0.9865658925586386,0.7549731343958206,1.2269693220916547,0.5883690330543017,0.5811011861813696,0.5749910332654652,0.7081971366958919,0.667989804487845,6
7,2784,0.3369732802712369,0.06729310030524416,0.26683058349908084,0.028495956950917327,0.9856775826261697,0.7499318045020084,1.2679232233449031,0.5974789124570394,0.6208615177556088,0.4958280701386301,0.7396505584143813,0.6173126304758235,6
8,3132,0.32298338276216354,0.06401996866360991,0.2562954827672106,0.026679325328294146,0.9877529520092849,0.7556076361846206,1.2425369934031838,0.6144752692627279,0.5776134901925137,0.5044823273232109,0.7021748715260769,0.6643951230642317,6
9,3480,0.3118083131895668,0.06287710354181714,0.24629208424139296,0.026391265306343465,0.987555629862291,0.7641432218093984,1.1940919270640926,0.5836399477955542,0.5608335051097368,0.4961848337399332,0.7212221974515384,0.6490939483980834,7
10,3828,0.3103169133008897,0.06084066837084019,0.24691408926128655,0.0256215648714924,0.9881610367813636,0.757549975087371,1.0666237630342181,0.5166938197063772,0.4995574457080741,0.5037248793401217,0.723550255950006,0.6608387581703731,8
11,4176,0.3028818194208474,0.058956775273699524,0.2413769435009052,0.025480998752253323,0.9882449403876616,0.7612852174956325,1.064227808462946,0.5115582841007333,0.5071215339397129,0.45547979913259806,0.7629791469583459,0.6404267622783733,9
12,4524,0.2980637985827594,0.05728868630596961,0.23804648877817325,0.027286232847870254,0.9874949157246021,0.761179789658474,1.1214140967318886,0.5639063868867723,0.5111612034471411,0.4634652388723273,0.7227961162460066,0.6879619778594728,9
13,4872,0.2949732755278719,0.056520317167300604,0.23574152625240813,0.02711432467311107,0.9890303031023314,0.7603815591120736,1.0350641796463413,0.506841106438323,0.480958953499794,0.4726410570897554,0.7464762603255055,0.6765890898069667,10
14,5220,0.29919334659459945,0.0558370909353868,0.2406411081895061,0.02715147868997749,0.9893802927775134,0.7476600582380679,1.0380074554368068,0.514936240487977,0.4826336675568631,0.4043755154860647,0.7435132778348095,0.6615273940762197,10
15,5568,0.285918892115012,0.054370435490005316,0.22881536479054512,0.027330919915553312,0.9891171426017146,0.7633358207609897,1.0392793275808032,0.514114834172161,0.4809275794970362,0.44236910029461507,0.7584508174346897,0.6713036898836922,10
16,5916,0.2839251269811186,0.05198362502322971,0.2292212477788843,0.027202552727734048,0.9899192166198219,0.7585767550214658,0.9893951823836878,0.4939775929639214,0.45124090972699615,0.4417665177269986,0.7548806948410838,0.673983528456084,11
17,6264,0.28057170046985835,0.05101942219075629,0.22689036479027108,0.026619133279905064,0.9909484323029711,0.7587807465488239,0.9227187162951419,0.45285164192318916,0.42292574949954687,0.4694133730311143,0.7614237509794262,0.676990286900519,12
18,6612,0.28252193824141875,0.05053367290710067,0.22927423125539703,0.02714033733421787,0.9894943759187741,0.7543599069391169,0.9885345658189372,0.4783631839152229,0.46557925327828054,0.44592120772913885,0.769208177685011,0.6750017861934299,12
