epoch,step,total_train_loss,real_train_loss,rec_train_loss,contra_train_loss,real_train_acc,rec_train_acc,real_train_top5,rec_train_top5,total_val_loss,real_val_loss,rec_val_loss,contra_val_loss,real_val_acc,rec_val_acc,real_val_top5,rec_val_top5,sav_version
0,33,1.23399023214976,0.4912675447536237,0.7427226919116396,0.7976884263934512,0.8918323863636366,0.8644954004329005,0.9908077331658686,0.7434909821821745,7.074044227600098,3.576731562614441,3.417440891265869,0.79871666431427,0.537890625,0.5462239583333334,0.4472240691489362,0.5513630319148937,1
1,66,0.8961810343193285,0.32479531566301983,0.5713857231718121,0.7995190945538607,0.9127333603896105,0.8881594967532468,0.9927755313059053,0.7660126127471449,6.467391490936279,3.2928099632263184,3.094647169113159,0.7993450164794922,0.5803385416666667,0.59609375,0.4464760638297872,0.6263297872340425,2
2,99,0.6477444831169012,0.1900784041393887,0.45766608010638843,0.7996065201181354,0.9414603625541125,0.9185944264069265,0.9829938311512213,0.7232408963668877,5.8330159187316895,2.9249542951583862,2.828123092651367,0.7993840873241425,0.6299479166666666,0.6341145833333333,0.43367686170212766,0.5006648936170213,3
3,132,0.5400798004685026,0.1457227389469291,0.39435705994114734,0.7996528401519313,0.9568181818181819,0.9307359307359307,0.9865292425547189,0.7534770930573716,5.3710057735443115,2.6884374618530273,2.6026183366775513,0.7994967401027679,0.6477864583333334,0.6658854166666667,0.5121343085106382,0.6107047872340425,4
4,165,0.5127782153360771,0.13340093872763895,0.3793772748022368,0.7996516914078684,0.9611404220779222,0.9357481060606059,0.9908476440095062,0.7426679884627043,5.229907751083374,2.7118107080459595,2.438163459300995,0.7993361949920654,0.6546875000000001,0.6830729166666667,0.38929521276595747,0.5439660904255319,5
5,198,0.5014158451195919,0.1255123493346301,0.3759034957849618,0.7996151989156549,0.963379329004329,0.9367086038961038,0.9881381667167957,0.7297431355165956,5.261232137680054,2.691628575325012,2.48964262008667,0.799608439207077,0.6640625,0.6751302083333334,0.40949135638297873,0.6269946808510638,5
6,231,0.47509957217808924,0.11808042137911826,0.35701915531447437,0.7996695131966562,0.9649046266233765,0.9407095508658009,0.9856839961724493,0.7378851243724776,5.074479341506958,2.6517609357833862,2.342775881290436,0.7994241118431091,0.6727864583333334,0.6907552083333334,0.3783244680851064,0.5536070478723405,6
7,264,0.4543408146410277,0.11120518319534534,0.34313563550963544,0.7996547619501749,0.9675290854978357,0.9438041125541127,0.9864346701488979,0.7412145231230831,4.990477800369263,2.5222026705741882,2.388329029083252,0.7994605004787445,0.6794270833333333,0.6959635416666666,0.4939328457446808,0.5088929521276596,7
8,297,0.44182229764533765,0.10665862397714095,0.3351636790868008,0.7996461301138906,0.9688886634199136,0.9439664502164503,0.9909309728496607,0.7471001426392694,4.700840950012207,2.4596692323684692,2.161232888698578,0.7993901669979095,0.6963541666666666,0.7170572916666667,0.4144780585106383,0.6103723404255319,8
