epoch,step,total_train_loss,real_train_loss,recomposed_train_loss,random_train_loss,real_train_acc,recomposed_train_acc,random_train_acc,total_val_loss,real_val_loss,recomposed_val_loss,random_val_loss,real_val_acc,recomposed_val_acc,random_val_acc,sav_version
0,1266,2.056663179002102,0.20383030193523868,0.47704372078321555,1.3757891528790973,0.9415117742890996,0.9114021771327027,0.8899110140205377,2.2277377157500298,0.3332962162341132,0.5011599093224063,1.39328159346725,0.9214734484265732,0.9063237543706294,0.8837175844988345,1
1,2532,1.8028755522263935,0.19203444555001614,0.41739646825603965,1.1934446374198648,0.9475217219589261,0.9209783520932079,0.9009213319510271,1.9701485254547813,0.2910702286118811,0.4414483051408421,1.2376299834612645,0.9293733610139863,0.9156031468531467,0.8957850743006992,2
2,3798,1.69463653191571,0.18979555279999313,0.3939560938385237,1.110884882968749,0.9492594786729834,0.9248049960505534,0.9051460061216423,1.8386290055332761,0.2753355424625404,0.39905519309369003,1.1642382695819393,0.9337913388694636,0.9228265224358971,0.9011691433566431,3
3,5064,1.6251233680553345,0.18760238205911048,0.3794002479757366,1.0581207398743049,0.9504615916271721,0.9270635860979457,0.9076483511058449,1.783947052377643,0.264337404433525,0.3840547346255996,1.1355549178340218,0.9345598412004661,0.9226935824592072,0.9023510343822847,4
4,6330,1.5842143546725147,0.18607143568696005,0.3727655962556836,1.025377324077567,0.9513915629936823,0.9281101895734583,0.90910779522117,1.7051908807321028,0.2564452663064003,0.3655336503729676,1.0832119566021543,0.9381747159090911,0.9271616404428904,0.9058584644522146,5
5,7596,1.5414494888100767,0.18336797973485355,0.3650656894061238,0.9930158191100116,0.952459765007899,0.9293690758293837,0.9102228969194314,1.6906966801845666,0.25173650535218645,0.37233078615231946,1.0666293854063207,0.9383085664335663,0.927001384032634,0.9060779064685314,6
6,8862,1.5154305647523105,0.18126949854489374,0.3590641104238105,0.9750969563897752,0.9530472452606634,0.9305600809636654,0.91083629541864,1.6685877966158318,0.2474797461746317,0.36785149596857303,1.0532565532308635,0.9404128423659676,0.9268511436480185,0.9069456585081583,7
7,10128,1.4938440380314892,0.1793920153407689,0.35605461989039494,0.9583974033358726,0.9541518562401269,0.9313055390995266,0.9113608313586111,1.6053962924263694,0.23822946936795206,0.35787072190732666,1.0092960912169833,0.9425726617132866,0.929528154137529,0.9091601107226108,8
8,11394,1.4675864394618814,0.177379088226182,0.35328373598967683,0.9369236151754009,0.9547374851895736,0.9317868779620865,0.91208407385466,1.5673776377331128,0.23468955504623326,0.35220659185539593,0.9804814909443711,0.9432410037878789,0.9306809076340326,0.910560533216783,9
9,12660,1.4495041109562674,0.17502095315481814,0.34787611728078005,0.9266070408090408,0.955505158965244,0.9328803811216426,0.9121346761453397,1.5582648280895117,0.23242336664010177,0.3524477696328452,0.9733936940178727,0.9447907561188806,0.9314931162587414,0.9099732298951049,10
