epoch,step,total_train_loss,real_train_loss,recomposed_train_loss,random_train_loss,real_train_acc,recomposed_train_acc,random_train_acc,total_val_loss,real_val_loss,recomposed_val_loss,random_val_loss,real_val_acc,recomposed_val_acc,random_val_acc,sav_version
0,86,8.441657326942266,0.3638235937024272,1.8724128305912018,6.205420909925949,0.8939861918604655,0.7262082122093024,0.6020712209302322,10.081836128234864,1.2239302337169646,2.0730145931243897,6.7848913192749025,0.7818229166666667,0.7044270833333333,0.5691666666666666,1
1,172,7.619155068730199,0.5038994010104689,1.750187988891158,5.3650676621947175,0.8627997819767442,0.7103833575581394,0.5945585029069768,8.530163860321045,1.11663578748703,1.696497642993927,5.7170305252075195,0.8002256944444444,0.7347222222222222,0.5982638888888889,2
2,258,7.224975314251212,0.612643034652222,1.709227052538894,4.903105203495469,0.8410519622093022,0.7054233284883722,0.5933957122093023,7.578237056732178,1.0659743398427963,1.4664905190467834,5.04577226638794,0.8065798611111111,0.7469791666666666,0.6213194444444445,3
3,344,6.894165632336638,0.6304732425961384,1.6639679663403089,4.599724395330562,0.8397347383720928,0.7082212936046511,0.5959029796511629,7.556849098205566,1.0452589452266694,1.747920298576355,4.763669776916504,0.8135416666666666,0.7300868055555556,0.6213541666666667,4
4,430,6.637545341669127,0.6455837519362916,1.5863807880601217,4.405580789543862,0.8376090116279066,0.7149345930232557,0.6003633720930234,7.715499496459961,1.0131238639354705,1.8643027544021606,4.838072967529297,0.8084027777777777,0.7059548611111112,0.6084027777777778,4
5,516,6.669452938922616,0.6432309365549753,1.6537763185279315,4.3724456776020135,0.8403706395348833,0.7082394622093025,0.5935410610465118,8.106428813934325,1.0704356968402862,1.824631929397583,5.211361026763916,0.7947222222222223,0.7044097222222222,0.5670659722222222,4
6,602,6.532506565714991,0.6463683510935584,1.5938045209230378,4.292333697163781,0.838562863372093,0.7148164970930232,0.5947765261627906,7.34647045135498,1.0696675658226014,1.5292191624641418,4.747583675384521,0.802378472222222,0.7503124999999999,0.5930555555555556,5
7,688,6.326805045438367,0.6315221512733504,1.591619608707206,4.103663278180499,0.842614462209302,0.7167332848837208,0.6061773255813954,8.048379802703858,1.1594140231609344,1.8232915878295899,5.065674304962158,0.7899131944444445,0.7057118055555556,0.565,5
8,774,6.299061317776525,0.6255739130253015,1.5236978200805742,4.149789560672849,0.8445494186046507,0.7234465843023258,0.5969022529069767,7.163924598693848,1.0444910407066346,1.6191527009010316,4.500280809402466,0.8046180555555555,0.7328819444444445,0.6086458333333333,6
9,860,6.371289663536604,0.6350069558897684,1.608679444983948,4.127603267514428,0.8425417877906974,0.7130087209302326,0.5956395348837208,8.04282054901123,1.1081609785556794,1.8490476846694945,5.085612106323242,0.7848611111111111,0.6958680555555555,0.5590277777777777,6
10,946,6.2219978598661205,0.6144846861445626,1.5907820144365,4.016731129136196,0.8483648255813953,0.7187590843023255,0.6004451308139535,6.4562522888183596,0.943064484000206,1.408231520652771,4.1049562931060795,0.818125,0.7569791666666668,0.6245312500000001,7
11,1032,6.144031463667404,0.6159687354121097,1.5810511999352033,3.9470115428747135,0.846375363372093,0.7178597383720929,0.6017805232558142,6.689424514770508,0.9864869534969329,1.597338354587555,4.105599308013916,0.8180555555555555,0.7465104166666666,0.6294270833333334,7
12,1118,6.014799872110056,0.6039083554994228,1.5404532745827075,3.870438265246014,0.849972747093023,0.7211573401162789,0.6059047965116279,7.793485069274903,1.1186728775501251,1.7886317014694213,4.886180305480957,0.7872743055555557,0.7035937499999999,0.5540798611111111,7
13,1204,6.105392871901047,0.6198631497316582,1.56791673011558,3.9176129851230357,0.8410973837209303,0.7156613372093024,0.5976835029069766,7.645566463470459,1.051275473833084,1.9866469621658325,4.607644081115723,0.79453125,0.6923090277777778,0.577951388888889,7
14,1290,5.957136303879494,0.5908173589512359,1.550399587597958,3.815919357676839,0.8494458575581394,0.7228470203488372,0.6067405523255814,7.335291004180908,1.1556504845619202,1.5814396858215332,4.598200941085816,0.7843402777777777,0.7429513888888889,0.5798958333333333,7
15,1376,5.931708807169005,0.5977072216743646,1.5639921620834705,3.770009398460388,0.8482467296511627,0.7189226017441863,0.6065134447674417,7.041891384124756,1.0515345945954322,1.7304021000862122,4.2599546909332275,0.8047569444444445,0.7248090277777777,0.6012152777777777,7
