epoch,step,n_vis,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,2531,0,1.8965923066244725,0.5301177894112994,7.417982027885342,0.3207370818919321,1.821138951814536,0.5522301136363635,9.127944337573236,0.280092758075015,1
1,5062,0,1.7083736216772314,0.5685752913868035,5.905168576554181,0.28857305068790334,1.6175927131464987,0.577611268939394,6.6057281025313905,0.2544725437435175,2
2,7593,0,1.5838575745608579,0.5931412979059657,5.171477728928187,0.26795056997768635,1.5398384282986324,0.6037973484848486,5.874057957255259,0.2447455738778604,3
3,10124,0,1.5374068421532825,0.6017717799288831,4.903742480207294,0.26028994118994364,1.5088679131233331,0.6083522727272724,5.641432200754078,0.23800281452020566,4
4,12655,0,1.5040361121891517,0.6080730195574866,4.751193399026925,0.2550116792184777,1.4991162748950901,0.609431818181818,5.433620379784027,0.24341712629773685,5
5,15186,0,1.4793451817927743,0.6114406361122088,4.63063734681095,0.2512709531318544,1.488261895649361,0.6131131628787877,5.558701204568508,0.23659507332085863,6
6,17717,0,1.4544022643297663,0.6163040794152504,4.496746956829966,0.24775508134707044,1.4767599241300062,0.6170928030303031,5.37671242047502,0.2239037290376875,7
7,20248,0,1.4333666004431855,0.6188086477676807,4.402504135198071,0.24462108906675745,1.46404146696582,0.6199810606060605,5.328310581254755,0.2269572134476526,8
8,22779,0,1.407778862223518,0.6229195476096414,4.280940604225962,0.240888501969223,1.4754954201705528,0.6204308712121211,5.472484999592879,0.21659538538865525,9
9,25310,0,1.3860650365882974,0.625977257013038,4.171388095442297,0.23769524407871498,1.4847558921936788,0.6156155303030298,5.376460716099883,0.22034451517213635,10
10,27841,0,1.358623549501117,0.6306301856973536,4.0542982101227745,0.23356733069153482,1.4757696746876745,0.6230421401515148,5.507114277862806,0.2069111978816079,11
11,30372,0,1.3309763966460135,0.6355257309363881,3.933195689652808,0.22982895654361646,1.4845543991435657,0.6188565340909089,5.4867903156013575,0.2055555130212073,12
12,32903,0,1.3048332085938192,0.6403496641643622,3.821755864788638,0.2255733027558044,1.506129098661018,0.6189015151515148,5.676449725466938,0.19682181271644228,13
13,35434,0,1.2723359905274572,0.6462823488739631,3.685278531715978,0.22061069620668325,1.526853155006062,0.6132339015151514,6.087158185195944,0.20553883454640864,14
14,37965,0,1.23390576840389,0.6536528299091263,3.5414650206844445,0.2150471667970798,1.514253210840803,0.6192992424242423,5.8780949036259384,0.19300152883158497,15
15,40496,0,1.2061739069395319,0.6585564006321625,3.4387895089522345,0.20993906697325518,1.531483825409051,0.6146306818181823,5.922149842114293,0.2009593438876167,16
16,43027,0,1.1701070267614382,0.6665257062425929,3.3098429901215765,0.20445057544761883,1.577887161211534,0.61890625,6.626757252967307,0.17232526439905163,17
17,45558,0,1.1321900222716903,0.674190043461083,3.1808006992472717,0.1980799575109851,1.592816508177555,0.6139370265151513,6.538745037411109,0.1769353922077108,18
18,48089,0,1.0969042264157631,0.6816580649940724,3.062620926859341,0.1920044986222281,1.6107957512140274,0.6154521780303029,7.299086722132951,0.17675610438680384,19
19,50620,0,1.0594663540632157,0.6905737603713951,2.9506718333932027,0.18579516332448384,1.636535395727013,0.6144578598484848,7.35676273790445,0.16603366777867443,20
20,53151,0,1.0215073102714987,0.6991690537337024,2.8339827296879556,0.17930997209063637,1.649523376063867,0.6123697916666665,7.442282725576108,0.16443195150941028,21
21,55682,0,0.9903200956871744,0.7065234838008688,2.7428643808214814,0.1740018984471212,1.6833593023545814,0.6140553977272726,7.642466766249978,0.15790381210439103,22
22,58213,0,0.9619599980405553,0.7137365418806803,2.6660661743996146,0.1688126265906809,1.7082125187823267,0.615629734848485,8.008834916634243,0.15309152690711345,23
23,60744,0,0.9236706232115574,0.7228368233899648,2.559890692158304,0.16241032141490197,1.7461931958343044,0.6100994318181817,8.175333861831286,0.14893679693494113,24
24,63275,0,0.8967401052665823,0.7297905966021329,2.4911072077736414,0.1576547314780703,1.7499273175543004,0.6111245265151516,8.197273745630165,0.14491263760426623,25
25,65806,0,0.8583315927395468,0.739581069735282,2.395168994274048,0.1512778170477717,1.7865349623289974,0.6095691287878784,8.502921543294269,0.14238009129111967,26
26,68337,0,0.826021363439884,0.7477522471355205,2.3173379721884353,0.14541374185529057,1.8449628402789433,0.6085014204545454,10.026955800244304,0.13173191581722915,27
27,70868,0,0.7973013767631851,0.7555653644804428,2.248918285428613,0.14034649728431042,1.8418495095137395,0.6111008522727273,9.280731885669466,0.12964413966995597,28
28,73399,0,0.7654491195868052,0.7644643915448445,2.1779867468243133,0.13493168792374005,1.886868139108022,0.6132244318181818,10.194535657740166,0.12524534345042768,29
29,75930,0,0.7391414018145478,0.7707748913472935,2.1213056273672604,0.13008785524939248,1.9107746441255917,0.605852272727273,9.83743034496525,0.12636706546359833,30
30,78461,0,0.7131270428435786,0.7788386507309359,2.0654341714368702,0.12558431188891148,1.9184903466340266,0.6097253787878788,10.364856796397834,0.1241360929025724,31
31,80992,0,0.6863873177062659,0.7859115715132364,2.0093024014448453,0.12094358528314869,1.9454476715940419,0.604872159090909,10.333391312714966,0.1246104805132817,32
32,83523,0,0.6673219831905456,0.7912262939549602,1.9706118557854153,0.11735816786907252,2.018514038035364,0.6029308712121213,11.686462384867424,0.11863373667664316,33
33,86054,0,0.6404291145630101,0.7990190389174255,1.9164221161900319,0.11276569790996574,2.034774631713376,0.6069744318181817,11.658212365400443,0.11342727557419582,34
34,88585,0,0.6200684142449495,0.8044819241406554,1.8781467829331036,0.1088316492901576,2.074325343424624,0.6087594696969698,13.404256573691608,0.10920939917800526,35
35,91116,0,0.6011199910254028,0.809844182141445,1.8416613892839533,0.10569641427029672,2.0735169743949715,0.6053125,13.184337170832263,0.10964769751360791,36
36,93647,0,0.5806632679896315,0.8161713502568166,1.8040516268315292,0.10200334886336294,2.1367246662125443,0.6061387310606058,13.855599670288752,0.10521728009767577,37
37,96178,0,0.5640906386757406,0.8213700118530232,1.7740122378501284,0.09871164587364963,2.176084733370579,0.6028314393939398,14.062060636960673,0.10239231832251623,38
38,98709,0,0.5450536678639009,0.8271298399841953,1.739796802559895,0.09558336982052926,2.1653755749716903,0.605272253787879,14.014545430120101,0.10294284361574658,39
39,101240,0,0.5284642738723228,0.8318753704069534,1.7106757907274532,0.0925058523164108,2.208468679225806,0.5993584280303031,15.335372576267368,0.10457333815593954,40
40,103771,0,0.5117675775845312,0.8369709354010262,1.682169526201089,0.0895534779220051,2.237005476698731,0.5997656250000001,15.276234722526256,0.10071850492060369,41
41,106302,0,0.49350097028929363,0.8424091268273419,1.6504631849280835,0.08645392948675289,2.288310572053447,0.6028977272727274,16.825744603787626,0.09534754140039739,42
42,108833,0,0.4814208180760263,0.8459730590675634,1.6311603636135836,0.08409573395195029,2.310498852169875,0.6011410984848484,17.020500095967254,0.09369953211641349,43
43,111364,0,0.46636534816942776,0.8507809413275383,1.6060928298510988,0.08151772589946446,2.326867946169593,0.6014417613636359,17.20689930953042,0.09499689980034995,44
44,113895,0,0.4576341281503333,0.8540645989727381,1.593667893955941,0.07969359165369147,2.383185449423212,0.602282196969697,18.968137258958812,0.08916334169057588,45
45,116426,0,0.44275541653314254,0.858063759383645,1.5683291070679943,0.07728707286048911,2.4136895126465596,0.5976870265151517,19.229680077306643,0.08965163235656394,46
46,118957,0,0.4278479799486959,0.8625629691821407,1.544934925269121,0.07475164605487028,2.400046648852753,0.6024029356060604,19.474945226082312,0.08771828350320383,47
47,121488,0,0.41792330343360157,0.8653860875148156,1.5291794615407244,0.07289376573612345,2.466985946803382,0.5992376893939394,20.689994141669544,0.08627084371214064,48
48,124019,0,0.4084401714741736,0.8681493233899651,1.5144712754423015,0.07121549823628733,2.5058113354625124,0.5985700757575755,21.092549116813412,0.08307970288067082,49
