epoch,step,total_train_loss,real_train_loss,recomposed_train_loss,random_train_loss,real_train_acc,recomposed_train_acc,random_train_acc,total_val_loss,real_val_loss,recomposed_val_loss,random_val_loss,real_val_acc,recomposed_val_acc,random_val_acc,sav_version
0,86,8.030162811279297,0.4306999618230864,1.86071991712548,5.738742900449176,0.8804142441860464,0.7191769622093025,0.595448764534884,7.647003650665283,1.1675533294677733,1.6268288135528564,4.8526215076446535,0.7794791666666666,0.7241493055555555,0.6012326388888889,1
1,172,6.501379334649374,0.7153428966222808,1.689930298993754,4.096106160518735,0.8485646802325579,0.7027707122093021,0.5879269622093024,7.174563884735107,1.0964071929454804,1.5646823167800903,4.513474225997925,0.7955555555555556,0.7221527777777779,0.5786805555555556,2
2,258,6.097020853397458,0.7350223760965259,1.5912180709284405,3.7707804275113483,0.850799418604651,0.7149255087209303,0.5882721656976744,7.0812162399292,1.0767408579587936,1.6221370220184326,4.382338190078736,0.78671875,0.7003125000000001,0.5737673611111112,3
3,344,5.662002912787504,0.6862627933191698,1.5626149579536084,3.413125140722408,0.862917877906977,0.7220566860465116,0.6122365552325583,6.788455200195313,1.073727187514305,1.6813950300216676,4.03333306312561,0.7859722222222222,0.6968055555555555,0.5785243055555556,4
4,430,5.663657911988192,0.6948516607977623,1.597448316424392,3.3713579233302626,0.8577034883720932,0.7140534156976744,0.601716933139535,6.410876274108887,1.0253863692283631,1.4887637615203857,3.8967260837554933,0.7926736111111111,0.7262152777777777,0.5743055555555555,5
5,516,5.400484428849331,0.6501954579076101,1.536036570404851,3.2142523582591567,0.8644712936046512,0.7261173691860464,0.6098382994186046,6.150741767883301,0.9512315213680267,1.5796286344528199,3.6198816299438477,0.8012673611111112,0.710625,0.5726909722222222,6
6,602,5.270256425059119,0.6162324336379074,1.526487402444662,3.1275365823923154,0.8662972383720929,0.7241006540697675,0.6085119912790696,5.835769462585449,0.9409326016902924,1.4672456502914428,3.4275912284851073,0.8044965277777777,0.7425868055555556,0.5940104166666667,7
7,688,5.1554473888042365,0.5837193517837413,1.5270973776662073,3.044630666111791,0.8669513081395345,0.7204215116279071,0.6076126453488375,5.793726444244385,0.9627871990203858,1.499378764629364,3.33156042098999,0.7992013888888889,0.7240624999999999,0.5869270833333333,8
8,774,5.034451908843462,0.5735800526169843,1.4853392118631408,2.9755326301552527,0.8648800872093022,0.7254814680232557,0.6088117732558139,4.9037830352783205,0.8325738996267319,1.3260727524757385,2.7451364994049072,0.8236458333333335,0.7545659722222222,0.6373611111111112,9
9,860,4.943960877351983,0.563270523797634,1.4604052894337232,2.9202850641206255,0.8649436773255816,0.7271075581395348,0.6075218023255816,5.205692005157471,0.8210793852806091,1.4501324415206909,2.9344801902770996,0.8230729166666666,0.7449305555555557,0.6156944444444444,9
10,946,4.964499418125596,0.5640814158805582,1.510287959215253,2.890130026395931,0.8625272529069768,0.7181958575581394,0.6047238372093022,5.193744373321533,0.8414073586463928,1.4321208477020264,2.920216178894043,0.818142361111111,0.7332118055555554,0.59296875,9
11,1032,4.7649614921835965,0.5545648492352907,1.4101933400298274,2.800203326136567,0.8632721656976742,0.7332485465116281,0.6108829941860465,5.36514196395874,0.9540816068649292,1.4195953488349915,2.991464900970459,0.8045833333333334,0.7434895833333333,0.5909895833333334,9
12,1118,4.72573612457098,0.5252608330270578,1.4225739011930865,2.7779014055119005,0.8693313953488372,0.731622456395349,0.6123455668604652,5.275116920471191,0.9167404681444168,1.299387526512146,3.0589889526367187,0.7948263888888889,0.7371354166666666,0.5741319444444445,9
13,1204,4.753131522688755,0.53618435041849,1.4451753788216168,2.771771791369416,0.8655886627906973,0.7262082122093023,0.6104923691860465,4.565512037277221,0.8358612418174743,1.1937422633171082,2.535908603668213,0.8297048611111111,0.7691319444444444,0.6329513888888888,10
14,1290,4.743758969528731,0.5266666235618813,1.457187446743943,2.759904897490213,0.8672601744186047,0.725254360465116,0.6100835755813953,5.342878961563111,0.9103784263134003,1.521229076385498,2.9112714767456054,0.813923611111111,0.7184895833333333,0.5851736111111111,10
15,1376,4.78413418559141,0.520427277614904,1.4643594269142595,2.7993474921514823,0.8680868459302326,0.7231468023255813,0.6016896802325581,5.473861980438232,0.9439353853464126,1.5898718595504762,2.940054750442505,0.8004513888888889,0.7061284722222223,0.5816319444444444,10
16,1462,4.829537538594978,0.5224964809279109,1.4923403013584227,2.8147007615067237,0.8656159156976745,0.7170512354651162,0.5957939680232561,5.398892116546631,1.0078062415122986,1.4935564398765564,2.897529363632202,0.7878125,0.7249826388888889,0.5801736111111111,10
17,1548,4.6930569604385735,0.5085764887721039,1.4274777964104053,2.757002639216046,0.8712936046511629,0.7305595930232555,0.602997819767442,5.06027660369873,0.8577303946018219,1.4938238859176636,2.70872220993042,0.8215972222222223,0.7371006944444444,0.6089062500000001,10
18,1634,4.588805597881938,0.4869682178940884,1.3794966846011405,2.722340673901314,0.8748637354651164,0.7364007994186047,0.6083938953488371,4.6575384616851805,0.8078418999910355,1.3355823159217834,2.5141143798828125,0.8302777777777777,0.762986111111111,0.6439583333333333,10
19,1720,4.56019389906595,0.4707971471686696,1.397690194983815,2.6917065534480784,0.8775526889534883,0.7330305232558136,0.6115098110465118,4.927934455871582,0.9172795951366425,1.4237488508224487,2.586905908584595,0.8196527777777778,0.7399305555555555,0.6186979166666666,10
20,1806,4.530685973721881,0.4763407710679742,1.390845968972805,2.6634992430376454,0.875499636627907,0.7341478924418605,0.6122274709302326,4.752762174606323,0.8325389087200165,1.2942317962646483,2.62599139213562,0.8124131944444445,0.7504166666666666,0.6071875,10
21,1892,4.579319391139718,0.48113427241874296,1.3966282758601876,2.701556843380595,0.8753724563953489,0.7300417877906977,0.6063408430232556,4.8379051208496096,0.8661333680152893,1.2035198569297791,2.7682519912719727,0.8200868055555555,0.7710590277777778,0.60390625,10
22,1978,4.6056590107984325,0.47598958673865294,1.4047499035680018,2.7249195076698483,0.8739280523255816,0.7296057412790696,0.603079578488372,4.881794214248657,0.9323655769228936,1.4144789934158326,2.5349495887756346,0.8168749999999999,0.74453125,0.6301909722222223,10
23,2064,4.534134221631427,0.4609016326451024,1.3682427401112955,2.7049898325010786,0.879006177325581,0.7378724563953488,0.6039062500000001,4.835915374755859,0.9163825690746308,1.3650595426559449,2.554473304748535,0.8081597222222221,0.7375520833333333,0.6216319444444445,10
24,2150,4.456538716027903,0.4534207348560178,1.3876444849857064,2.615473522696384,0.8798782703488371,0.7344658430232558,0.6155977470930234,4.922903537750244,0.8740430682897568,1.282877266407013,2.765983057022095,0.8223958333333334,0.7567534722222222,0.5811284722222222,10
25,2236,4.607618501020032,0.4518274888396263,1.4185132814008137,2.7372777295667072,0.8782430959302324,0.7263263081395348,0.5965116279069768,4.798456764221191,0.8778451174497605,1.3696983695030212,2.5509132862091066,0.8272048611111111,0.7436284722222222,0.6126215277777779,10
26,2322,4.35793903816578,0.43697357385657554,1.3202502834935521,2.600715181162191,0.8828034156976741,0.7440861191860466,0.6163699127906976,4.255609607696533,0.8370133101940155,1.0029678225517273,2.415628433227539,0.8308854166666666,0.7958680555555555,0.6403472222222222,11
27,2408,4.4273634206417,0.4432988944788312,1.3420913191728814,2.641973216866338,0.8807231104651161,0.7400526889534884,0.6090661337209301,4.542246389389038,0.8029221713542938,1.3472725391387939,2.3920516967773438,0.8425868055555554,0.7518923611111111,0.6347395833333334,11
28,2494,4.306767250216285,0.4140041181167891,1.3324659640012786,2.5602971495584,0.888562863372093,0.7418695494186048,0.6207576308139535,5.088123607635498,0.9642269879579544,1.3983317613601685,2.7255648136138917,0.813263888888889,0.7444270833333333,0.5953298611111111,11
29,2580,4.375159989955813,0.4310992495265118,1.351513406565023,2.5925473182700403,0.8827943313953489,0.7387718023255817,0.615170784883721,4.679913663864136,0.867157319188118,1.206639552116394,2.6061166286468507,0.8148784722222222,0.7593576388888889,0.6041840277777778,11
30,2666,4.450865221578021,0.43519295648086903,1.3590498684450638,2.6566223959590114,0.8827216569767439,0.7363917151162793,0.604596656976744,4.603248453140258,0.9032644957304001,1.2004433274269104,2.4995404958724974,0.8210069444444444,0.767638888888889,0.6251041666666667,11
31,2752,4.3147261253623075,0.42297663002513175,1.322551667690277,2.5691978266072826,0.8857739825581398,0.7442768895348837,0.6176053779069766,4.66283106803894,0.9406008720397949,1.2258959650993346,2.496334266662598,0.8231423611111112,0.75859375,0.620451388888889,11
32,2838,4.37751093021659,0.4186727961655273,1.3573311685129654,2.6015069623326146,0.8863917151162792,0.7384175145348837,0.611936773255814,5.253546524047851,0.960756516456604,1.4676447629928588,2.8251452922821043,0.7957118055555557,0.7116840277777778,0.5628298611111111,11
33,2924,4.349929158077684,0.41893941614516944,1.3439106421415197,2.587079098058301,0.8864098837209304,0.7399800145348836,0.6130541424418607,4.767401695251465,0.8416688203811645,1.3608598113059998,2.5648731231689452,0.8224652777777777,0.73875,0.6178298611111112,11
34,3010,4.345771373704422,0.40784788634194885,1.3621952308471812,2.575728261886641,0.889625726744186,0.737681686046512,0.6143168604651162,4.992616462707519,0.9747071683406829,1.4003278732299804,2.6175813913345336,0.8113194444444444,0.7335416666666666,0.6029513888888889,11
35,3096,4.47482419291208,0.4181383569226709,1.4181590648584588,2.6385267709576805,0.8856558866279071,0.7264989098837209,0.6042332848837209,5.027881765365601,0.9263251543045044,1.3086938738822937,2.7928627490997315,0.8102951388888888,0.7478993055555556,0.5835416666666666,11
36,3182,4.252361829890761,0.40219625362823175,1.3107206883818605,2.539444884588552,0.8899618459302326,0.747356468023256,0.6188226744186045,4.959672117233277,0.9254867017269135,1.4185373783111572,2.615648078918457,0.8131770833333334,0.7319618055555555,0.5979340277777778,11
37,3268,4.374444914418597,0.41757495458735977,1.3566904468245284,2.6001795218434443,0.8851289970930231,0.736546148255814,0.6100744912790695,4.670107984542847,0.883022940158844,1.1993282198905946,2.5877567768096923,0.824079861111111,0.7652256944444444,0.6007638888888889,11
38,3354,4.368492850037509,0.392770356217096,1.3573782922223556,2.6183442071426746,0.890434229651163,0.7352925145348839,0.6055232558139536,4.770650959014892,0.891235989332199,1.3103973031044007,2.569017791748047,0.8184027777777778,0.7425868055555556,0.6002951388888889,11
39,3440,4.481627284094345,0.41449937865484593,1.383131082667861,2.683996785518735,0.8853470203488372,0.7314861918604648,0.5946947674418606,4.4265796661376955,0.8910151541233062,1.1282403469085693,2.407324123382568,0.8324826388888888,0.779045138888889,0.6344791666666667,11
40,3526,4.292255717654561,0.39765441140463187,1.3316146953161372,2.5629866206368734,0.8893713662790695,0.7414607558139537,0.6124636627906974,4.672838115692139,0.8785248100757599,1.2832508563995362,2.5110623598098756,0.8209375,0.7510069444444445,0.619392361111111,11
41,3612,4.258345149284185,0.39002178418774935,1.3296498462211255,2.538673518702041,0.8919058866279068,0.7421693313953488,0.6166606104651166,4.4564615249633786,0.9040822863578797,1.229508638381958,2.3228707313537598,0.8279687499999999,0.7654861111111112,0.6463715277777777,11
42,3698,4.177526529445204,0.38367179417332936,1.2655297143514765,2.5283250295838644,0.8925236191860463,0.7521620639534885,0.6180595930232557,4.578732252120972,0.8340031862258911,1.2298580527305603,2.5148709774017335,0.8280555555555555,0.7617881944444445,0.6137847222222221,11
43,3784,4.3333059549331665,0.4022144722037537,1.3616829576880434,2.569408511006555,0.8877816133720936,0.7356649709302325,0.6117460029069769,4.469250297546386,0.8953797191381454,1.1888472199440003,2.3850234508514405,0.8253993055555554,0.7729861111111112,0.6328819444444445,11
44,3870,4.240802451621654,0.3897641694476438,1.3061518932497778,2.544886374196341,0.892314680232558,0.7462118459302327,0.6144167877906976,4.598382377624512,0.9002215445041657,1.2084242701530457,2.4897364139556886,0.8208854166666667,0.7551215277777777,0.6107986111111111,11
45,3956,4.249056283817735,0.39455988223469535,1.3338907111522764,2.520605680554412,0.8915515988372094,0.7417151162790697,0.6176689680232558,4.962860774993897,0.917939493060112,1.4429609417915343,2.6019604206085205,0.8225347222222222,0.73640625,0.6008333333333333,11
46,4042,4.238005355347035,0.38281726767850477,1.3216581095096678,2.53352999132733,0.8928052325581394,0.7428960755813955,0.616515261627907,4.758989477157593,0.8881329506635666,1.383091676235199,2.487764763832092,0.8317534722222222,0.7357291666666667,0.620625,11
47,4128,4.185927050058232,0.3707210891122042,1.3022900563339854,2.5129159245380137,0.8962390988372089,0.7460210755813953,0.618032340116279,4.658692073822022,0.9561620414257049,1.1417420387268067,2.5607879638671873,0.8098958333333333,0.7643749999999999,0.5979687499999999,11
48,4214,4.163758799087169,0.3889111568068349,1.2741599186908368,2.5006877391837365,0.8910792151162791,0.7521529796511629,0.6188953488372093,4.655932903289795,0.8520116806030273,1.2756444454193114,2.528276777267456,0.8228819444444444,0.7496875,0.6024826388888889,11
49,4300,4.277547706005185,0.3777846569238707,1.3546086487381956,2.5451543996500416,0.8959393168604656,0.7371002906976746,0.6132449127906975,4.5925945281982425,0.890453788638115,1.2203211307525634,2.4818196296691895,0.8248611111111112,0.7531770833333333,0.6178993055555556,11
50,4386,4.35769598705824,0.3906781408329343,1.3754475691983865,2.5915702622990278,0.8917787063953486,0.7323310319767443,0.6057867005813954,5.108161783218383,0.9943628638982773,1.4348560452461243,2.6789429664611815,0.8068923611111112,0.7263020833333333,0.5853298611111111,11
